24, 51, 1, 191, 191, 191
32, 51, 1, 191, 191, 191
24, 52, 1, 191, 191, 191
25, 52, 1, 191, 191, 191
31, 52, 1, 191, 191, 191
32, 52, 1, 191, 191, 191
24, 53, 1, 191, 191, 191
25, 53, 1, 191, 191, 191
31, 53, 1, 191, 191, 191
32, 53, 1, 191, 191, 191
9, 63, 1, 191, 191, 191
47, 63, 1, 191, 191, 191
19, 0, 2, 191, 191, 191
20, 0, 2, 191, 191, 191
21, 0, 2, 191, 191, 191
35, 0, 2, 191, 191, 191
36, 0, 2, 191, 191, 191
37, 0, 2, 191, 191, 191
18, 1, 2, 191, 191, 191
19, 1, 2, 191, 191, 191
20, 1, 2, 191, 191, 191
21, 1, 2, 191, 191, 191
35, 1, 2, 191, 191, 191
36, 1, 2, 191, 191, 191
37, 1, 2, 191, 191, 191
38, 1, 2, 191, 191, 191
18, 2, 2, 191, 191, 191
19, 2, 2, 191, 191, 191
20, 2, 2, 191, 191, 191
21, 2, 2, 191, 191, 191
35, 2, 2, 191, 191, 191
36, 2, 2, 191, 191, 191
37, 2, 2, 191, 191, 191
38, 2, 2, 191, 191, 191
18, 3, 2, 191, 191, 191
19, 3, 2, 191, 191, 191
20, 3, 2, 191, 191, 191
36, 3, 2, 191, 191, 191
37, 3, 2, 191, 191, 191
38, 3, 2, 191, 191, 191
19, 4, 2, 191, 191, 191
37, 4, 2, 191, 191, 191
19, 5, 2, 191, 191, 191
37, 5, 2, 191, 191, 191
19, 14, 2, 191, 191, 191
37, 14, 2, 191, 191, 191
19, 15, 2, 191, 191, 191
37, 15, 2, 191, 191, 191
19, 16, 2, 191, 191, 191
20, 16, 2, 191, 191, 191
36, 16, 2, 191, 191, 191
37, 16, 2, 191, 191, 191
18, 17, 2, 191, 191, 191
19, 17, 2, 191, 191, 191
20, 17, 2, 191, 191, 191
36, 17, 2, 191, 191, 191
37, 17, 2, 191, 191, 191
38, 17, 2, 191, 191, 191
18, 18, 2, 191, 191, 191
19, 18, 2, 191, 191, 191
20, 18, 2, 191, 191, 191
21, 18, 2, 191, 191, 191
35, 18, 2, 191, 191, 191
36, 18, 2, 191, 191, 191
37, 18, 2, 191, 191, 191
38, 18, 2, 191, 191, 191
18, 19, 2, 191, 191, 191
19, 19, 2, 191, 191, 191
20, 19, 2, 191, 191, 191
21, 19, 2, 191, 191, 191
35, 19, 2, 191, 191, 191
36, 19, 2, 191, 191, 191
37, 19, 2, 191, 191, 191
38, 19, 2, 191, 191, 191
17, 20, 2, 191, 191, 191
18, 20, 2, 191, 191, 191
19, 20, 2, 191, 191, 191
20, 20, 2, 191, 191, 191
21, 20, 2, 191, 191, 191
35, 20, 2, 191, 191, 191
36, 20, 2, 191, 191, 191
